Month,Agency,Police Force,Felony Type,Felony Count,Crimes per Million Riders
2025-01-01,NYCT,NYPD,Rape,0,0.0
2025-01-01,NYCT,NYPD,Robbery,28,0.21
2025-01-01,NYCT,NYPD,Grand Larceny,73,0.54
2025-01-01,NYCT,NYPD,Grand Larceny Auto,0,0.0
2025-02-01,NYCT,NYPD,Burglary,0,0.0
2025-02-01,NYCT,NYPD,Felony Assault,40,0.31
2025-02-01,NYCT,NYPD,Murder,0,0.0
2025-02-01,NYCT,NYPD,Rape,1,0.01
2025-02-01,NYCT,NYPD,Robbery,22,0.17
2025-02-01,NYCT,NYPD,Grand Larceny,71,0.56
2025-02-01,NYCT,NYPD,Grand Larceny Auto,0,0.0
2025-03-01,NYCT,NYPD,Burglary,1,0.01
2025-03-01,NYCT,NYPD,Felony Assault,54,0.37
2025-03-01,NYCT,NYPD,Murder,0,0.0
2025-03-01,NYCT,NYPD,Rape,2,0.01
2025-03-01,NYCT,NYPD,Robbery,37,0.25
2025-03-01,NYCT,NYPD,Grand Larceny,80,0.54
2025-03-01,NYCT,NYPD,Grand Larceny Auto,0,0.0
2025-04-01,NYCT,NYPD,Burglary,2,0.01
2025-04-01,NYCT,NYPD,Felony Assault,42,0.28
2025-04-01,NYCT,NYPD,Murder,1,0.01
2025-04-01,NYCT,NYPD,Rape,2,0.01
2025-04-01,NYCT,NYPD,Robbery,30,0.2
2025-04-01,NYCT,NYPD,Grand Larceny,75,0.5
2025-04-01,NYCT,NYPD,Grand Larceny Auto,0,0.0
2025-05-01,NYCT,NYPD,Burglary,0,0.0
2025-05-01,NYCT,NYPD,Felony Assault,58,0.38
2025-05-01,NYCT,NYPD,Murder,0,0.0
2025-05-01,NYCT,NYPD,Rape,0,0.0
2025-05-01,NYCT,NYPD,Robbery,32,0.21
2025-05-01,NYCT,NYPD,Grand Larceny,97,0.63
2025-05-01,NYCT,NYPD,Grand Larceny Auto,0,0.0
2025-06-01,NYCT,NYPD,Burglary,1,0.01
2025-06-01,NYCT,NYPD,Felony Assault,39,0.27
2025-06-01,NYCT,NYPD,Murder,1,0.01
